Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components	Initial_decision
3.A.2.1.14	P09221	WP_013265089.1	137.0	2.37133e-17	28.0	170.0	163.0	9.0	145.0	20.0	156.0	80.0	83.4	1.0	1.0	1.0	F-ATPase	CHEBI:5584;hydron	PF00430	PF00430	NA	['P09222', 'P07678', 'P07677', 'P09218', 'P00845', 'P09220', 'P09219']	Yellow
3.A.2.1.14	P09222	NA	286.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.3.2.42	Q9LY77	WP_044046109.1	955.0	7.727809999999999e-147	34.0	956.0	1033.0	12.0	940.0	130.0	993.0	97.1	83.5	12.0	12.0	10.0	P-ATPase	CHEBI:3308;calcium(2+)	PF00689,PF00122,PF00122,PF13246,PF00702,PF00690,PF08282	PF00689,PF00122,PF00702,PF00690,PF13246	NA	NA	green
3.A.3.6.10	O32219	WP_013263960.1	625.0	0.0	50.0	625.0	702.0	1.0	623.0	90.0	695.0	99.5	86.2	6.0	9.0	6.0	P-ATPase	CHEBI:3290;cadmium(2+), CHEBI:23337;cobalt(2+), CHEBI:10113;zinc(2+)	PF00122,PF00702,PF08282	PF00122,PF00702,PF00403,PF08282	NA	NA	green
3.A.5.1.4	P35874	NA	65.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.4	Q9WYU9	NA	67.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.4	Q9X1I9	WP_004361625.1	441.0	4.24241e-110	40.0	446.0	431.0	6.0	439.0	3.0	429.0	97.1	98.8	10.0	10.0	10.0	Sec	CHEBI:14911;protein	PF00344	PF00344	NA	['P35874', 'Q9WYU9']	Yellow
3.A.5.1.4	Q9X1R4	WP_013265387.1	874.0	5.99696e-171	39.0	1119.0	871.0	174.0	1034.0	77.0	815.0	76.9	84.7	0.0	0.0	0.0	Sec	CHEBI:14911;protein	PF07517,PF07516,PF01043,PF02810	PF07517,PF07516,PF01043,PF00271	NA	['P35874', 'Q9WYU9']	Yellow
3.A.10.1.11	E7RS29	WP_013265392.1	734.0	0.0	82.0	735.0	733.0	3.0	733.0	2.0	731.0	99.3	99.5	16.0	16.0	16.0	H<sup>+</sup>-PPase	CHEBI:9175;sodium(1+), CHEBI:5584;hydron	PF03030	PF03030	NA	NA	green
3.A.11.1.1	P39145	NA	463.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.1	P39694	NA	205.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.1	P39695	WP_013265124.1	463.0	9.93168e-30	25.0	514.0	776.0	19.0	463.0	6.0	437.0	86.4	55.5	12.0	12.0	1.0	DNA-T	CHEBI:75980;single-stranded DNA polynucleotide	PF03772,PF13567	PF03772,PF00753,PF13567	WP_013265124.1 YP_500201.1 	['P39694', 'P39145']	Yellow
3.A.12.1.1	P21458	WP_013265261.1	672.0	8.3383e-124	38.0	820.0	787.0	156.0	808.0	141.0	780.0	79.5	81.2	5.0	4.0	1.0	S-DNA-T	CHEBI:4291;deoxyribonucleic acid	PF01580,PF17854,PF09397,PF13491	PF01580,PF17854,PF09397	NA	NA	Green
3.D.4.3.2	A5A618	NA	29.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.D.4.3.2	P0ABJ9	WP_013264766.1	514.0	3.48658e-130	41.0	511.0	522.0	13.0	509.0	5.0	501.0	97.1	95.0	9.0	9.0	9.0	COX	None	PF01654	PF01654	NA	['A5A618', 'P56100', 'P24244']	Yellow
3.D.4.3.2	P0ABK2	WP_013264086.1	401.0	2.62153e-28	26.0	380.0	379.0	3.0	379.0	4.0	377.0	98.9	98.4	9.0	9.0	9.0	COX	None	PF02322	PF02322	NA	['A5A618', 'P56100', 'P24244']	Yellow
3.D.4.3.2	P24244	NA	30.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.D.4.3.2	P56100	NA	37.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.D.5.1.1	D0WX40	NA	77.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.D.5.1.1	Q56582	WP_009434655.1	231.0	1.1267e-16	28.0	237.0	256.0	16.0	225.0	18.0	242.0	88.2	87.5	2.0	2.0	2.0	Na-NDH	CHEBI:9175;sodium(1+)	PF04205	PF04205	NA	['D0WX40']	Yellow
3.D.5.1.1	Q56584	WP_013265818.1	420.0	3.89932e-128	46.0	422.0	407.0	5.0	422.0	3.0	406.0	98.8	99.0	1.0	2.0	1.0	Na-NDH	CHEBI:9175;sodium(1+)	PF00175,PF00111,PF00970	PF00175,PF00111,PF00970	NA	['D0WX40']	Yellow
3.D.5.1.1	Q56586	WP_013265763.1	447.0	3.14504e-72	30.0	449.0	446.0	4.0	447.0	1.0	445.0	98.7	99.6	0.0	0.0	0.0	Na-NDH	CHEBI:9175;sodium(1+)	PF05896,PF11973	PF05896,PF11973	NA	['D0WX40']	Yellow
3.D.5.1.1	Q56587	WP_013265474.1	422.0	7.273139999999999e-101	40.0	383.0	414.0	1.0	381.0	1.0	411.0	99.2	99.0	11.0	13.0	8.0	Na-NDH	CHEBI:9175;sodium(1+)	PF03116	PF03116	NA	['D0WX40']	Yellow
3.D.5.1.1	Q56589	WP_004360385.1	208.0	1.62036e-79	59.0	208.0	198.0	1.0	208.0	1.0	198.0	99.5	99.5	6.0	6.0	6.0	Na-NDH	CHEBI:9175;sodium(1+)	PF02508	PF02508	NA	['D0WX40']	Yellow
3.D.5.1.1	Q57095	WP_004360386.1	186.0	1.12281e-70	57.0	209.0	210.0	15.0	200.0	14.0	199.0	88.5	88.1	6.0	6.0	6.0	Na-NDH	CHEBI:9175;sodium(1+)	PF02508	PF02508	NA	['D0WX40']	Yellow
3.D.10.1.5	Q8KA99	WP_013264540.1	214.0	5.43514e-18	29.0	228.0	240.0	6.0	216.0	28.0	236.0	92.1	86.7	5.0	5.0	5.0	SDH	CHEBI:42511;fumarate(2-), CHEBI:6749;menaquinone	NA	NA	NA	NA	Green
3.D.10.1.5	Q8KAA0	WP_013263945.1	655.0	0.0	64.0	660.0	646.0	5.0	659.0	4.0	646.0	99.1	99.4	1.0	1.0	1.0	SDH	CHEBI:42511;fumarate(2-), CHEBI:6749;menaquinone	PF00890,PF02910	PF00890,PF02910,PF01266	NA	NA	green
3.D.10.1.5	Q8KAA1	WP_013264811.1	245.0	2.84386e-112	62.0	252.0	257.0	5.0	249.0	1.0	244.0	96.8	94.6	0.0	0.0	0.0	SDH	CHEBI:42511;fumarate(2-), CHEBI:6749;menaquinone	PF13085,PF12838,PF13183	PF13085,PF12838,PF13183,PF13237,PF00037	NA	NA	Green
4.B.1.1.4	Q8EDN0	WP_044046016.1	182.0	3.29447e-26	27.0	208.0	221.0	4.0	185.0	26.0	206.0	87.0	81.4	6.0	7.0	6.0	PnuC	CHEBI:9530;thiamine(1+)	PF04973	PF04973	NA	NA	green
4.C.1.1.6	P31552	WP_013264438.1	525.0	7.606349999999999e-52	29.0	557.0	517.0	37.0	552.0	14.0	517.0	92.5	97.3	0.0	0.0	0.0	FAT	CHEBI:17237;(E)-4-(trimethylammonio)but-2-enoate, CHEBI:3424;carnitinium	PF00501,PF13193	PF00501,PF13193	NA	NA	green
4.C.1.1.14	Q9XIA9	WP_013264368.1	622.0	3.26076e-54	24.0	602.0	665.0	13.0	602.0	53.0	659.0	97.8	91.1	0.0	0.0	0.0	FAT	CHEBI:4984;fatty acid	PF00501	PF00501,PF13193	NA	NA	green
4.D.1.1.13	P77757	WP_036923687.1	303.0	4.4395000000000004e-45	33.0	317.0	322.0	3.0	303.0	10.0	297.0	94.6	89.1	3.0	2.0	2.0	VGP	None	PF00535,PF13641,PF10111	PF00535,PF13641,PF10111	NA	NA	green
4.D.1.1.14	Q55487	WP_013264170.1	313.0	1.4624999999999998e-52	35.0	314.0	318.0	2.0	312.0	3.0	306.0	98.7	95.3	2.0	2.0	2.0	VGP	None	PF00535	PF00535,PF13641,PF10111,PF13506	NA	NA	Green
4.D.1.3.2	B8F5K7	WP_013263949.1	253.0	4.89878e-11	26.0	261.0	252.0	6.0	242.0	4.0	241.0	90.4	94.0	1.0	0.0	0.0	VGP	CHEBI:24403;glycosyl group	PF00535,PF13704,PF13641	PF00535,PF13704	NA	NA	green
4.D.2.1.10	RME73333	WP_044045893.1	287.0	3.4642e-05	20.0	342.0	345.0	61.0	332.0	66.0	340.0	79.2	79.4	7.0	9.0	5.0	GT2	None	PF03706	PF03706	NA	NA	green
4.D.2.2.3	Q6MJ43	WP_013264731.1	217.0	2.39987e-05	26.0	333.0	331.0	42.0	249.0	46.0	236.0	62.2	57.4	8.0	8.0	5.0	GT2	None	PF03706	PF03706	NA	NA	green
4.F.1.3.5	OIO15329	WP_088582099.1	302.0	2.79562e-44	31.0	310.0	308.0	7.0	306.0	8.0	295.0	96.5	93.2	4.0	4.0	2.0	CEPT1	None	PF01066	PF01066	NA	NA	green
5.A.1.1.3	OGG98050	WP_013263883.1	534.0	7.79321e-60	28.0	699.0	530.0	93.0	616.0	4.0	475.0	74.8	88.9	9.0	8.0	8.0	DsbD	None	PF02683,PF13899,PF11412	PF02683,PF13899,PF03190	NA	NA	green
8.A.5.1.4	P80874	WP_013264405.1	337.0	6.99674e-20	26.0	326.0	331.0	1.0	295.0	1.0	325.0	90.2	97.9	0.0	0.0	0.0	KTN	None	PF00248	PF00248	YP_499166.1 YP_500928.1 	NA	Green
8.A.21.2.2	P0AA53	WP_013263822.1	305.0	5.29943e-83	44.0	315.0	305.0	12.0	315.0	9.0	296.0	96.2	94.1	1.0	1.0	1.0	Stomatin	None	PF01145	PF01145,PF16200	NA	NA	green
8.A.46.1.1	Q8A1G2	WP_013264020.1	481.0	9.24089e-20	25.0	581.0	551.0	135.0	578.0	142.0	550.0	76.2	74.0	1.0	1.0	0.0	SusD	None	PF14322,PF07980	PF07980	NA	NA	Green
8.A.46.1.1	Q8A1G2	WP_013264021.1	582.0	1.9510000000000002e-109	40.0	543.0	551.0	1.0	543.0	1.0	550.0	99.8	99.6	1.0	1.0	1.0	SusD	None	PF07980,PF14322	PF07980	NA	NA	green
8.A.46.1.1	Q8A1G2	WP_013264536.1	475.0	1.06896e-26	26.0	520.0	551.0	106.0	519.0	98.0	551.0	79.4	82.2	1.0	1.0	0.0	SusD	None	PF07980,PF14322	PF07980	NA	NA	Green
8.A.46.1.1	Q8A1G2	WP_013264630.1	573.0	1.37387e-21	23.0	539.0	551.0	16.0	538.0	22.0	551.0	96.8	96.0	0.0	1.0	0.0	SusD	None	PF07980,PF14322	PF07980	NA	NA	Green
8.A.46.1.4	Q5LEN2	WP_013263997.1	521.0	1.48971e-167	49.0	529.0	516.0	13.0	527.0	8.0	514.0	97.2	98.1	1.0	0.0	0.0	SusD	None	PF07980,PF14322	PF07980,PF14322	NA	NA	green
8.A.46.1.5	E4RVP8	WP_013265361.1	589.0	1.01909e-109	37.0	584.0	545.0	2.0	580.0	3.0	544.0	99.0	99.3	0.0	0.0	0.0	SusD	None	PF14322,PF07980	PF14322,PF07980	NA	NA	green
8.A.46.1.5	E4RVP8	WP_013265678.1	263.0	9.32025e-09	25.0	523.0	545.0	103.0	363.0	98.0	332.0	49.7	42.9	1.0	0.0	0.0	SusD	None	PF14322	PF14322,PF07980	NA	NA	Green
8.A.46.2.2	Q8A0N7	WP_013265381.1	573.0	6.969539999999999e-86	35.0	541.0	537.0	1.0	539.0	1.0	536.0	99.4	99.6	1.0	1.0	1.0	SusD	None	PF12741,PF12771	PF12741,PF12771	NA	NA	Green
8.A.46.2.2	Q8A0N7	WP_013265852.1	530.0	1.59899e-95	36.0	516.0	537.0	19.0	514.0	13.0	533.0	95.9	96.8	1.0	1.0	1.0	SusD	None	PF12741,PF12771	PF12741,PF12771	NA	NA	Green
8.A.46.2.2	Q8A0N7	WP_013265914.1	539.0	6.86757e-88	35.0	510.0	537.0	9.0	508.0	8.0	533.0	97.8	97.8	1.0	1.0	1.0	SusD	None	PF12741,PF12771	PF12741,PF12771	NA	NA	Green
8.A.46.2.2	Q8A0N7	WP_044045923.1	540.0	2.47462e-171	50.0	519.0	537.0	4.0	518.0	1.0	534.0	99.0	99.3	1.0	1.0	1.0	SusD	None	PF12741,PF12771	PF12741,PF12771	NA	NA	green
8.A.46.3.2	F3PRQ4	WP_013265907.1	481.0	2.56783e-17	22.0	484.0	504.0	1.0	454.0	1.0	449.0	93.6	88.9	1.0	0.0	0.0	SusD	None	PF14322,PF07980	PF07980,PF14322	NA	NA	green
8.A.46.3.3	G8TGS7	WP_013264459.1	515.0	1.2193999999999999e-26	25.0	539.0	502.0	14.0	512.0	10.0	453.0	92.4	88.2	1.0	0.0	0.0	SusD	None	PF14322,PF07980	PF14322,PF07980	WP_044045830.1 WP_013265765.1 WP_013264459.1 WP_044045786.1 	NA	green
8.A.46.3.3	G8TGS7	WP_013265765.1	511.0	6.2323e-10	22.0	570.0	502.0	8.0	495.0	4.0	438.0	85.4	86.5	1.0	0.0	0.0	SusD	None	PF14322,PF07980	PF14322,PF07980	WP_044045830.1 WP_013265765.1 WP_013264459.1 WP_044045786.1 	NA	Green
8.A.46.3.3	G8TGS7	WP_044045786.1	532.0	9.54396e-17	25.0	586.0	502.0	14.0	534.0	10.0	438.0	88.7	85.3	1.0	0.0	0.0	SusD	None	PF14322,PF07980	PF14322,PF07980	WP_044045830.1 WP_013265765.1 WP_013264459.1 WP_044045786.1 	NA	Green
8.A.46.3.3	G8TGS7	WP_044045830.1	459.0	5.94832e-16	22.0	485.0	502.0	1.0	437.0	1.0	422.0	89.9	83.9	1.0	0.0	0.0	SusD	None	PF14322	PF14322,PF07980	WP_044045830.1 WP_013265765.1 WP_013264459.1 WP_044045786.1 	NA	Green
8.A.58.2.7	V7NGM6	WP_036924459.1	73.0	4.16982e-18	45.0	92.0	183.0	7.0	79.0	16.0	88.0	78.3	39.3	2.0	2.0	2.0	Dispanin	None	PF04505	PF04505	NA	NA	green
8.A.163.1.3	WP_143479989	WP_013265097.1	605.0	2.27785e-67	28.0	684.0	634.0	2.0	576.0	6.0	587.0	83.9	91.6	0.0	0.0	0.0	HSP90/CDC37	None	PF00183,PF13589,PF02518	PF00183,PF02518,PF13589	NA	NA	green
8.A.192.1.4	MBA24612	WP_013265883.1	368.0	4.21854e-102	44.0	387.0	374.0	1.0	366.0	1.0	362.0	94.3	96.5	1.0	0.0	0.0	DnaJ	CHEBI:14911;protein	PF01556,PF00226,PF00684	PF01556,PF00226,PF00684	NA	NA	Green
8.A.192.1.5	WP_224341048	WP_013265415.1	234.0	3.49134e-36	34.0	231.0	335.0	3.0	210.0	7.0	225.0	89.6	65.1	1.0	0.0	0.0	DnaJ	None	PF00226,PF01556	PF01556,PF00226	NA	NA	green
9.A.8.1.13	E4VQD8	WP_013265816.1	868.0	0.0	58.0	826.0	827.0	1.0	826.0	1.0	827.0	99.9	99.9	8.0	9.0	8.0	FeoB	CHEBI:34754;iron(2+)	PF02421,PF07670,PF07670,PF07664,PF17910,PF04023,PF01926	PF02421,PF07670,PF07670,PF07664,PF17910,PF04023,PF01926,PF09439	NA	NA	green
9.A.32.1.1	O32241	WP_108235543.1	141.0	0.000827103	27.0	138.0	207.0	1.0	138.0	1.0	127.0	99.3	60.9	4.0	6.0	4.0	SdpI	CHEBI:36080;protein	PF07853	PF13630,PF07853	NA	NA	green
9.B.14.3.1	Q7VHG9	WP_013265639.1	677.0	1.24564e-96	33.0	721.0	936.0	115.0	721.0	231.0	900.0	84.0	71.5	13.0	14.0	9.0	HEP	None	PF01578,PF05140	PF01578,PF05140	NA	NA	green
9.B.14.3.3	P48269	WP_013264529.1	244.0	1.3232e-33	33.0	262.0	353.0	31.0	259.0	113.0	349.0	87.0	66.9	8.0	9.0	7.0	HEP	None	PF01578	PF01578	NA	NA	green
9.B.18.2.4	P27830	WP_013264366.1	342.0	8.96709e-07	20.0	349.0	355.0	26.0	341.0	2.0	328.0	90.3	91.8	1.0	1.0	1.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF01370,PF16363,PF01073,PF07993,PF02719	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.18.2.4	P27830	WP_013264561.1	356.0	3.75458e-16	24.0	329.0	355.0	1.0	328.0	1.0	337.0	99.4	94.6	0.0	1.0	0.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF01370,PF16363,PF01073,PF04321,PF13460,PF07993,PF03435,PF02719,PF05368	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.18.2.4	P27830	WP_013265027.1	203.0	4.87067e-08	24.0	342.0	355.0	151.0	342.0	160.0	350.0	55.8	53.5	0.0	1.0	0.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF01370,PF16363	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.18.2.4	P27830	WP_013265088.1	334.0	1.2039e-16	25.0	363.0	355.0	3.0	323.0	2.0	319.0	88.2	89.3	0.0	1.0	0.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF16363,PF01370,PF04321	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.18.2.4	P27830	WP_013265479.1	373.0	6.880390000000001e-114	47.0	384.0	355.0	1.0	372.0	1.0	347.0	96.6	97.5	0.0	1.0	0.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF16363,PF01370,PF01073,PF02719,PF07993,PF04321	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.18.2.4	P27830	WP_013265583.1	288.0	8.23379e-16	27.0	345.0	355.0	5.0	282.0	4.0	265.0	80.3	73.5	0.0	1.0	0.0	GumD	CHEBI:10528;dTDP-alpha-D-glucose	PF16363,PF01370,PF01073,PF02719,PF00106,PF08659,PF04321	PF16363,PF01370,PF02719,PF01073,PF04321,PF07993	WP_013265088.1 WP_013265583.1 	NA	Green
9.B.20.1.4	P0AFV2	WP_013264514.1	135.0	6.74926e-46	56.0	224.0	215.0	4.0	138.0	1.0	134.0	59.8	61.9	4.0	4.0	4.0	MgtC	CHEBI:6635;magnesium(2+)	PF02308	PF02308	NA	NA	green
9.B.27.3.3	B1J6T5	WP_013265613.1	130.0	4.71325e-21	37.0	150.0	145.0	14.0	142.0	5.0	134.0	85.3	89.0	4.0	4.0	4.0	DedA	None	NA	PF09335	NA	NA	green
9.B.28.5.3	KGN96360	WP_044045812.1	663.0	1.07847e-174	40.0	683.0	670.0	21.0	680.0	6.0	667.0	96.5	98.7	7.0	6.0	4.0	MusI	None	PF07698,PF01966,PF07697,PF08668	PF07698,PF01966,PF07697	NA	NA	green
9.B.36.1.4	WP_095837247	WP_013265775.1	180.0	4.8218e-06	21.0	220.0	183.0	9.0	188.0	17.0	174.0	81.4	85.8	6.0	6.0	6.0	HdeD	None	PF03729,PF03729	PF03729,PF03729,PF03729	YP_501483.1 WP_013265775.1 	NA	Green
9.B.55.1.2	I0RHY9	WP_013264763.1	121.0	6.73626e-28	41.0	125.0	131.0	1.0	121.0	1.0	120.0	96.0	90.8	2.0	3.0	2.0	DUF307	None	PF03733,PF03733	PF03733,PF03733	NA	NA	green
9.B.97.1.11	D0WIR7	WP_013264773.1	318.0	2.76513e-15	23.0	341.0	363.0	3.0	292.0	1.0	299.0	84.8	82.1	10.0	10.0	9.0	ATAT	None	PF01757	PF01757	NA	NA	green
9.B.97.5.3	WP_014544578	WP_013263902.1	314.0	7.66736e-08	21.0	389.0	329.0	32.0	340.0	9.0	280.0	79.2	82.4	10.0	10.0	9.0	ATAT	None	PF01757	PF01757,PF10129,PF07786	NA	NA	green
9.B.98.1.9	WP_138772272	WP_013264142.1	311.0	1.0010800000000001e-19	25.0	326.0	335.0	1.0	305.0	1.0	310.0	93.3	92.2	5.0	6.0	5.0	DUF95	None	PF01944	PF01944	NA	NA	green
9.B.101.3.1	EDU99479	WP_013265076.1	392.0	2.18328e-64	32.0	443.0	376.0	1.0	364.0	1.0	366.0	81.9	97.1	3.0	3.0	3.0	CagA	None	PF02646	PF02646	NA	NA	green
9.B.104.1.10	WP_112570700	WP_013264353.1	226.0	7.35014e-50	44.0	318.0	241.0	3.0	216.0	11.0	233.0	67.0	92.1	5.0	6.0	5.0	Rhomboid	None	PF01694,PF20216,PF08551	PF01694	NA	NA	green
9.B.105.1.7	Q6MKG1	WP_013265163.1	172.0	6.78195e-10	29.0	231.0	188.0	5.0	170.0	1.0	165.0	71.4	87.2	6.0	5.0	4.0	PbrBC	None	PF01569	PF01569,PF14378	NA	NA	green
9.B.105.4.6	WP_157304638	WP_004358931.1	203.0	1.42056e-17	25.0	205.0	230.0	10.0	205.0	27.0	229.0	95.1	87.8	7.0	7.0	7.0	PbrBC	None	NA	NA	NA	NA	green
9.B.126.2.2	Q7P7W4	WP_013265771.1	318.0	5.273209999999999e-45	27.0	448.0	396.0	29.0	345.0	1.0	304.0	70.5	76.5	6.0	6.0	6.0	YhjD	None	PF03631	PF03631	NA	NA	green
9.B.142.9.16	WP_108113234	WP_013265012.1	1109.0	0.0	35.0	1106.0	1090.0	4.0	1047.0	6.0	1030.0	94.3	93.9	15.0	13.0	13.0	GT39	None	PF11028	PF11028	NA	NA	green
9.B.142.17.9	WP_096031611	WP_013264109.1	265.0	0.000355864	20.0	393.0	412.0	72.0	316.0	79.0	333.0	62.1	61.7	9.0	8.0	6.0	GT39	None	PF09594	PF09594	NA	NA	green
9.B.144.1.4	L1NJ33	WP_013265876.1	835.0	0.0	63.0	833.0	830.0	1.0	833.0	1.0	828.0	99.9	99.6	14.0	14.0	14.0	DUF3367	None	PF09586	PF09586	NA	NA	green
9.B.146.1.3	Q8F4J3	WP_013264846.1	427.0	8.58209e-67	34.0	423.0	368.0	1.0	423.0	1.0	368.0	99.8	99.7	10.0	10.0	10.0	MurG	None	PF00953	PF00953,PF10555	NA	NA	green
9.B.146.1.4	R6S968	WP_044046024.1	367.0	1.00033e-93	42.0	368.0	379.0	2.0	361.0	3.0	367.0	97.6	96.0	11.0	11.0	11.0	MurG	None	PF00953	PF00953	NA	NA	green
9.B.149.2.3	P0AEH1	WP_013263823.1	492.0	1.16364e-32	27.0	466.0	450.0	1.0	461.0	1.0	449.0	98.7	99.6	4.0	5.0	4.0	M50-P	CHEBI:14911;protein	PF02163,PF17820,PF00595,PF13180	PF02163,PF02163,PF17820,PF00595,PF13180	NA	NA	green
9.B.156.3.1	I6ZUE8	WP_013264494.1	386.0	5.77104e-102	42.0	408.0	522.0	31.0	408.0	143.0	521.0	92.4	72.4	11.0	10.0	9.0	4-10P	None	PF07670	PF07670	NA	NA	green
9.B.157.1.2	Q9K8H5	NA	346.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
9.B.157.1.2	Q9K8H6	WP_013264211.1	289.0	5.32462e-11	23.0	294.0	293.0	4.0	276.0	1.0	289.0	92.5	98.3	3.0	1.0	1.0	MreBCD	CHEBI:5140;folic acid	PF04085	PF04085	NA	['Q9K8H5', 'Q9K8H7']	Yellow
9.B.157.1.2	Q9K8H7	NA	174.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA
9.B.158.1.1	Q9NTM9	WP_013263950.1	244.0	3.32467e-65	45.0	253.0	273.0	6.0	248.0	26.0	267.0	95.7	88.3	0.0	0.0	0.0	Cut	CHEBI:23380;copper(2+), CHEBI:29036;copper(2+)	PF03932	PF03932	NA	NA	green
9.B.168.1.2	Q8AA74	WP_044045965.1	337.0	1.75011e-74	36.0	425.0	483.0	91.0	425.0	149.0	483.0	78.6	69.2	1.0	0.0	0.0	DUF3078	None	PF11276	PF11276	NA	NA	green
9.B.174.1.3	WP_014775235	WP_013264281.1	548.0	6.33794e-120	38.0	582.0	554.0	11.0	554.0	8.0	546.0	93.3	97.1	1.0	1.0	1.0	CTP	CHEBI:25906;peptide	PF03572,PF17820	PF03572,PF17820,PF00595,PF13180,PF02163	NA	NA	green
9.B.174.1.3	WP_014775235	WP_044045848.1	370.0	1.73199e-63	38.0	559.0	554.0	49.0	412.0	41.0	389.0	64.9	62.8	1.0	1.0	0.0	CTP	CHEBI:25906;peptide	PF03572,PF17820,PF13180,PF00595	PF03572,PF17820,PF00595,PF13180,PF02163	NA	NA	Green
9.B.183.1.9	P71056	WP_013264919.1	321.0	2.28016e-19	24.0	391.0	367.0	51.0	356.0	53.0	366.0	78.0	85.3	12.0	12.0	10.0	EspG	None	PF14897	PF14897	NA	NA	green
9.B.186.1.3	D5ERW9	WP_013265686.1	226.0	4.765e-75	53.0	225.0	226.0	1.0	221.0	1.0	221.0	97.8	97.3	2.0	2.0	2.0	YiaD	None	PF00691,PF13488	PF00691,PF13488,PF13441	NA	NA	green
9.B.214.2.2	SAK80392	WP_013265524.1	123.0	4.30332e-05	28.0	143.0	137.0	19.0	131.0	13.0	135.0	78.3	89.1	4.0	4.0	4.0	ER/G-TF	None	PF07681,PF04173	PF07681,PF02077	NA	NA	Green
9.B.214.3.2	WP_068761139	WP_013264303.1	365.0	3.1451800000000003e-63	37.0	706.0	570.0	8.0	369.0	4.0	361.0	51.1	62.6	5.0	5.0	5.0	ER/G-TF	None	PF00121	PF20329,PF07681	NA	NA	green
9.B.241.1.1	AKM79803	WP_013264333.1	303.0	3.52596e-34	29.0	296.0	308.0	9.0	292.0	13.0	307.0	95.6	95.5	9.0	9.0	9.0	UbiA	None	PF01040	PF01040	NA	NA	green
9.B.268.1.3	WP_066760536	WP_013264988.1	232.0	2.58032e-19	30.0	213.0	256.0	14.0	212.0	19.0	245.0	93.0	88.3	7.0	9.0	7.0	UBP14	None	PF05857	PF05857	NA	NA	green
9.B.273.1.2	WP_102961726	WP_013263812.1	137.0	4.57047e-29	47.0	288.0	273.0	153.0	281.0	139.0	272.0	44.4	48.7	9.0	7.0	3.0	PCT	None	PF01148	PF01148	NA	NA	Green
9.B.330.4.1	WP_092421239	WP_013264684.1	265.0	3.66013e-26	29.0	280.0	303.0	14.0	266.0	38.0	287.0	90.0	82.2	7.0	7.0	7.0	DUF4013	None	PF01790	PF01790	NA	NA	green
9.B.365.2.1	O25289	WP_013265472.1	194.0	5.0928e-54	49.0	195.0	215.0	8.0	191.0	4.0	191.0	93.8	87.0	4.0	5.0	4.0	DoxD	None	PF04224	PF04224	NA	NA	green
